Rk,Player,Tm,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
119,Eno Benjamin,ARI,22,RB,9,0,34,118,1,4,41.2,21,3.5,13.1,0,BenjEn00
120,Godwin Igwebuike,DET,27,DB,17,1,18,118,1,7,61.1,42,6.6,6.9,2,IgweGo00
121,Kirk Cousins*,MIN,33,QB,16,16,29,115,1,8,48.3,29,4.0,7.2,12,CousKi00
122,Jamal Agnew,JAX,26,WR,10,2,7,111,1,3,85.7,66,15.9,11.1,1,AgneJa00
123,Derek Carr,LVR,30,QB,17,17,40,108,0,9,40.0,22,2.7,6.4,13,CarrDe02
124,Teddy Bridgewater,DEN,29,QB,14,14,30,106,2,16,60.0,13,3.5,7.6,1,BridTe00
125,Qadree Ollison,ATL,25,RB,8,0,21,105,1,7,52.4,19,5.0,13.1,1,OlliQa00
126,Wayne Gallman,2TM,27,RB,8,0,28,104,0,5,35.7,17,3.7,13.0,0,GallWa00
127,Joshua Kelley,LAC,24,RB,10,0,33,102,0,5,30.3,14,3.1,10.2,1,KellJo01
128,Le'Veon Bell,2TM,29,RB,8,0,39,101,2,9,46.2,12,2.6,12.6,0,BellLe00
129,Aaron Rodgers*+,GNB,38,QB,16,16,33,101,3,10,36.4,18,3.1,6.3,3,RodgAa00
130,Marlon Mack,IND,25,RB,6,0,28,101,0,6,32.1,22,3.6,16.8,0,MackMa00
131,Austin Walter,NYJ,25,RB,4,0,26,101,1,5,42.3,14,3.9,25.3,0,WaltAu00
132,Elijhaa Penny,NYG,28,RB,17,3,24,99,1,9,50.0,12,4.1,5.8,0,PennEl00
133,Adrian Peterson,2TM,36,RB,4,3,38,98,2,6,42.1,16,2.6,24.5,1,PeteAd01
134,Benny Snell Jr.,PIT,23,RB,17,0,36,98,0,3,30.6,9,2.7,5.8,0,SnelBe00
135,Chase Claypool,PIT,23,WR,15,13,14,96,0,7,71.4,25,6.9,6.4,0,ClayCh01
136,Tyreek Hill*,KAN,27,WR,17,16,9,96,0,4,66.7,33,10.7,5.6,2,HillTy00
137,Patrick Taylor,GNB,23,RB,9,0,23,89,1,5,60.9,12,3.9,9.9,0,TaylPa01
138,DeAndre Carter,WAS,28,WR,17,6,10,89,0,4,80.0,27,8.9,5.2,3,CartDe02
139,Larry Rountree,LAC,22,RB,12,0,36,87,1,5,33.3,13,2.4,7.3,0,RounLa00
140,Jared Goff,DET,27,QB,14,14,17,87,0,4,29.4,26,5.1,6.2,9,GoffJa00
141,Marcus Mariota,LVR,28,QB,10,0,13,87,1,6,76.9,31,6.7,8.7,1,MariMa01
142,Matt Ryan,ATL,36,QB,17,17,40,82,1,9,30.0,17,2.1,4.8,11,RyanMa00
143,Tom Brady*,TAM,44,QB,17,17,28,81,2,14,53.6,13,2.9,4.8,4,BradTo00
144,Ryquell Armstead,JAX,25,RB,2,0,15,80,0,3,60.0,26,5.3,40.0,0,ArmsRy00
145,Jonathan Williams,WAS,27,RB,5,0,17,79,1,7,64.7,23,4.6,15.8,0,WillJo07
146,Chris Evans,CIN,24,RB,14,1,17,77,0,3,41.2,13,4.5,5.5,0,EvanCh02
147,Rondale Moore,ARI,21,WR,14,7,18,76,0,2,50.0,26,4.2,5.4,3,MoorRo02
148,Andy Dalton,CHI,34,QB,8,6,16,76,0,2,50.0,14,4.8,9.5,1,DaltAn00
149,CeeDee Lamb*,DAL,22,WR,16,13,9,76,0,4,66.7,33,8.4,4.8,0,LambCe00
150,Jermar Jefferson,DET,21,RB,7,0,15,74,2,4,53.3,28,4.9,10.6,0,JeffJe00
151,Jacoby Brissett,MIA,29,QB,11,5,19,70,1,9,63.2,19,3.7,6.4,6,BrisJa00
152,Jamycal Hasty,SFO,25,RB,11,0,16,68,1,6,43.8,21,4.3,6.2,2,HastJa02
153,Jake Fromm,NYG,23,QB,3,2,8,65,0,4,62.5,27,8.1,21.7,2,FromJa00
154,Jerick McKinnon,KAN,29,RB,13,0,12,62,0,2,58.3,18,5.2,4.8,0,McKiJe00
155,Kene Nwangwu,MIN,23,RB,11,0,13,61,0,3,30.8,19,4.7,5.5,0,NwanKe00
156,Amon-Ra St. Brown,DET,22,WR,17,9,7,61,1,2,42.9,26,8.7,3.6,0,StxxAm00
157,D'Wayne Eskridge,SEA,24,WR,10,0,4,59,0,2,100.0,30,14.8,5.9,0,EskrDW00
158,Giovani Bernard,TAM,30,RB,12,0,8,58,0,3,62.5,24,7.3,4.8,1,BernGi00
159,Elijah Moore,NYJ,21,WR,11,6,5,54,1,3,100.0,19,10.8,4.9,0,MoorEl00
160,Drew Lock,DEN,25,QB,6,3,10,53,2,5,50.0,23,5.3,8.8,2,LockDr00
161,Diontae Johnson*,PIT,25,WR,16,14,5,53,0,2,80.0,25,10.6,3.3,2,JohnDi01
162,Mason Rudolph,PIT,26,QB,2,1,5,53,0,3,60.0,26,10.6,26.5,1,RudoMa00
163,Jimmy Garoppolo,SFO,30,QB,15,15,38,51,3,15,47.4,7,1.3,3.4,8,GaroJi00
164,Trayveon Williams,CIN,24,RB,5,0,15,51,0,4,53.3,10,3.4,10.2,0,WillTr06
165,Jason Huntley,PHI,23,RB,1,0,13,51,0,2,30.8,18,3.9,51.0,0,HuntJa01
166,Devin Duvernay*+,BAL,24,WR,16,7,7,50,0,4,42.9,19,7.1,3.1,1,DuveDe00
167,D.J. Moore,CAR,24,WR,17,17,8,48,0,4,75.0,14,6.0,2.8,1,MoorD.00
168,Isaiah McKenzie,BUF,26,WR,15,2,9,47,1,4,55.6,10,5.2,3.1,2,McKeIs00
169,Mecole Hardman,KAN,23,WR,17,8,8,46,0,2,25.0,24,5.8,2.7,3,HardMe00
170,Robert Woods,LAR,29,WR,9,9,8,46,1,1,50.0,16,5.8,5.1,0,WoodRo02
171,Davis Mills,HOU,23,QB,13,11,18,44,0,5,38.9,11,2.4,3.4,5,MillDa02
172,Ty Montgomery,NOR,28,WR,14,3,15,44,0,2,33.3,9,2.9,3.1,0,MontTy01
173,Michael Pittman Jr.,IND,24,WR,17,17,5,44,0,1,40.0,25,8.8,2.6,1,PittMi01
174,Matthew Stafford,LAR,33,QB,17,17,32,43,0,8,31.3,12,1.3,2.5,5,StafMa00
175,Scott Miller,TAM,24,WR,9,0,2,43,1,2,100.0,33,21.5,4.8,0,MillSc01
176,Geno Smith,SEA,31,QB,4,3,9,42,1,3,77.8,12,4.7,10.5,1,SmitGe00
177,Laviska Shenault Jr.,JAX,23,WR,16,10,11,41,0,2,45.5,11,3.7,2.6,1,ShenLa00
178,Deonte Harty,NOR,24,WR,13,1,5,41,0,1,60.0,22,8.2,3.2,2,HarrDe07
179,Jalen Richard,LVR,28,RB,10,0,9,40,0,3,44.4,23,4.4,4.0,0,RichJa01
180,Jonnu Smith,NWE,26,TE,16,11,9,40,0,2,44.4,9,4.4,2.5,1,SmitJo01
181,Braxton Berrios+,NYJ,26,WR,16,1,7,40,2,3,85.7,11,5.7,2.5,1,BerrBr00
182,Jarvis Landry,CLE,29,WR,12,12,6,40,2,4,83.3,16,6.7,3.3,3,LandJa00
183,Anthony Schwartz,CLE,21,WR,14,2,6,39,0,4,66.7,17,6.5,2.8,0,SchwAn00
184,James White,NWE,29,RB,3,0,10,38,1,4,60.0,10,3.8,12.7,0,WhitJa02
185,Colt McCoy,ARI,35,QB,8,3,22,37,0,6,31.8,11,1.7,4.6,4,McCoCo00
186,J.J. Taylor,NWE,23,RB,5,0,19,37,2,3,21.1,15,1.9,7.4,1,TaylJJ01
187,Kalen Ballage,PIT,26,RB,17,0,12,36,0,2,41.7,13,3.0,2.1,0,BallKa00
188,Robbie Chosen,CAR,28,WR,17,16,3,36,0,1,66.7,30,12.0,2.1,0,AndeRo04
189,Mike Boone,DEN,26,RB,8,0,4,35,0,2,50.0,16,8.8,4.4,0,BoonMi00
190,Jalen Guyton,LAC,24,WR,16,2,7,34,0,2,28.6,21,4.9,2.1,1,GuytJa01
